X;Y;amenageur;operateur;enseigne;idstation;station;adstation;codeinsee;Xlongitude;Ylatitude;nbrepdc;idpdc;puissmax;typeprise;accesrecharge;accessibilité;observations;date_maj
6.971394;43.6168410005411;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*67*_*_*_;FR*A16*P*WIIZ*67*_*_*_ - Mouans-Sartoux Parking du Parc;;06084;6.971394;43.6168410005411;2;;;type2,typee;Payant;24/7;node/6087059483;2020/03/14
6.87583;43.6557090005406;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*77*_*_*_;FR*A16*P*WIIZ*77*_*_*_ - Cabris Parking de la Poste;;06026;6.87583;43.6557090005406;2;;;type2,typee;Payant;24/7;node/6087059479;2020/03/01
6.8634078;43.888809400536;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*78*_*_*_;Collongues Place du Château;;06045;6.8634078;43.888809400536;2;;;type2,typee;Payant;24/7;node/7254858136;2020/03/01
6.929529;43.5923600005413;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*79*_*_*_;FR*A16*P*WIIZ*79*_*_*_ - Pégomas Parking Logis;;06090;6.929529;43.5923600005413;2;;;type2,typee;Payant;24/7;node/6087059474;2020/03/01
6.8759337;43.6391351005408;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*80*_*_*_;FR*A16*P*WIIZ*80*_*_*_ - Peymeinade Parking St Marc;;06095;6.8759337;43.6391351005408;2;;;type2,typee;Payant;24/7;node/6087059484;2020/03/01
6.847364;43.70035400054;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*81*_*_*_;Saint-Vallier-de-Thiey Parking Espace du Thiey;;06130;6.847364;43.70035400054;2;;;type2,typee;Payant;24/7;node/7254858133;2020/03/01
6.8735176;43.6382980005408;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*90*_*_*_;FR*A16*P*WIIZ*90*_*_*_ - Peymeinade Parking Complexe Sportif;;06095;6.8735176;43.6382980005408;2;;;type2,typee;Payant;24/7;node/6087059481;2020/03/01
6.7937761;43.6502658005407;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*91*_*_*_;FR*A16*P*WIIZ*91*_*_*_ - Saint-Cézaire-sur-Siagne Parking Chemin de la Chaux;;06118;6.7937761;43.6502658005407;2;;;type2,typee;Payant;24/7;node/6087059585;2020/03/01
6.8912444;43.6453551005407;CAPG;Sodetrel;WiiiZ;FR*SOD*S*WIIZ*94*1*_*_;Peymeinade;;06095;6.8912444;43.6453551005408;2;;;type2,typee;Payant;24/7;node/7254830678;2020/03/01
7.002274;43.5505520005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*18*_*_*_;FR*A18*P*WIIZ*18*_*_*_ - Cannes Parking Picaud;;06029;7.002274;43.5505520005416;2;;;type2,typee;Payant;24/7;node/6087608270;2020/03/01
7.030538;43.5490310005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*24*_*_*_;FR*A18*P*WIIZ*24*_*_*_ - Cannes Parking Latour Maubourg;;06029;7.030538;43.5490310005416;2;;;type2,typee;Payant;24/7;node/6087608269;2020/03/01
6.9413047;43.5479550005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*26*_*_*_;Mandelieu-La Napoule Parking Béguier;;06079;6.9413047;43.5479550005417;2;;;type2,typee;Payant;24/7;node/7235306789;2020/03/01
6.9452222;43.5342599005417;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*27*_*_*_;Mandelieu-La Napoule Parking Robinson (Théatre de Verdure);;06079;6.9452222;43.5342599005417;2;;;type2,typee;Payant;24/7;node/7254805829;2020/03/01
6.9717933;43.5491475005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*39*_*_*_;Cannes Parking Négrin;;06029;6.9717933;43.5491475005416;2;;;type2,typee;Payant;24/7;node/7235300401;2020/03/01
7.0222179;43.5547974005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*40*_*_*_;Cannes Parking Braille;;06029;7.0222179;43.5547974005416;2;;;type2,typee;Payant;24/7;node/7235401953;2020/03/01
